Name, Cast Name, Episodes Appeared In, Time of Appearance
Ricky Gervais,Tony,18 episodes,2019-2022
Tom Basden,Matt,18 episodes,2019-2022
Tony Way,Lenny,18 episodes,2019-2022
Diane Morgan,Kath,18 episodes,2019-2022
Kerry Godliman,Lisa,18 episodes,2019-2022
Ashley Jensen,Nurse,18 episodes,2019-2022
Anti,Brandy the Dog,18 episodes,2019-2022
Michelle Greenidge,Valerie,17 episodes,2019-2022
Joe Wilkinson,Pat,16 episodes,2019-2022
Penelope Wilton,Anne,15 episodes,2019-2022
Jo Hartley,June,15 episodes,2019-2022
David Earl,Brian,15 episodes,2019-2022
David Bradley,Tony's Dad,14 episodes,2019-2022
Ethan Lawrence,James,14 episodes,2019-2022
Mandeep Dhillon,Sandy,12 episodes,2019-2020
Paul Kaye,Psychiatrist,12 episodes,2019-2020
Tommy Finnegan,George Braden,12 episodes,2019-2022
Kamran Kiani,Kaldi,11 episodes,2019-2022
Roisin Conaty,Roxy,10 episodes,2019-2020
Laura Patch,Jill Braden,10 episodes,2019-2022
Colin Hoult,Ken Otley,9 episodes,2020-2022
Thomas Bastable,Robbie,7 episodes,2019-2022
Kath Hughes,Coleen,6 episodes,2019-2022
Peter Egan,Paul,6 episodes,2020-2022
Tim Plester,Julian Kane,5 episodes,2019
Tracy Ann Oberman,Rebecca,5 episodes,2019-2022
Matt Beauman-Jones,Tambury Gazette Staff,1 episode,2022
Dave Hill,Old Man in Care Home,4 episodes,2022
Kate Robbins,Penny Spencer-Wright,3 episodes,2022
Andrew Brooke,Ratty,3 episodes,2020-2022
Tom Bennett,The Nonce,3 episodes,2020-2022
Bill Ward,Simon,3 episodes,2020
Steve Brody,Geoff,2 episodes,2019-2022
Linda Broughton,Conned Old Lady,2 episodes,2022
Kayla Meikle,Nurse 2,2 episodes,2019
Wendy Albiston,Brian's Ex Wife,2 episodes,2022
Steve Speirs,Dog Waste Man,2 episodes,2020-2022
Ricky Grover,Micky the Gypsy,2 episodes,2022
Ben Hull,Jack,2 episodes,2022
Robert Woodhall,Colin,1 episode,2020-2022
Annette Crosbie,Rosemary,1 episode,2020
Ninette Finch,Newsagent,1 episode,2019
Daniel Copeland,Man in Park,1 episode,2019
Adrian McLoughlin,5 Card Man,1 episode,2019
Alexander Kirk,Stain Man,1 episode,2019
Tim Fitzhigham,Waiter,1 episode,2019
Tim Key,Rude Date,1 episode,2022
Michael Spicer,Ben,1 episode,2022
Sean McLoughlin,Comedian,1 episode,2019
Elsie Fallon,Emma's Colleague,1 episode,2022
James Gault,Waiter,1 episode,2022
Nancy Sullivan,Café Waitress,1 episode,2019
Nicky B,Fat Woman,1 episode,2019
Megan Heffernan,Breast Milk Woman,1 episode,2019
Seb Cardinal,Yoga Instructor,1 episode,2020
Colin Farrell,Bill,1 episode,2022
Nikhil Parmar,Charity Collector,1 episode,2019
Dan Li,Homeless Man,1 episode,2019
Brendan Howley,Shop Assistant,1 episode,2019
Beth Mullen,Baby Hitler's Mum,1 episode,2019
Ewen MacIntosh,Buffet Man,1 episode,2022
Jo Enright,Vera,1 episode,2022
Ann Penfold,Betty,1 episode,2022
Islam Bouakkaz,Mugger,1 episode,2019
Mark Weinman,Baby Hitler's Dad,1 episode,2019
Tom Andrews,Man with Baby,1 episode,2022
Gillian Axtell,Psych Receptionist,1 episode,2019
Holli Dempsey,Plastic Surgery Woman,1 episode,2020
Toby Foster,Dennis,1 episode,2020
Graham Dickson,Charles,1 episode,2022
Zak Douglas,Estate Agent,1 episode,2022
Julia Dearden,Nun,1 episode,2019
Lucy Speed,Tracy,1 episode,2020
Kenneth Collard,Landlord,1 episode,2022
Grace Wood,Daughter,1 episode,2020
Yvonne Edgell,Cat Woman,1 episode,2020
Marc Cass,Bad Driver,1 episode,2022
Dan Mersh,Vicar,1 episode,2020
Yasmin Wilde,Dog Handler,1 episode,2022
Amelie Bea Smith,Lisa,1 episode,2022
Sophie Fletcher,Woman in Pub,1 episode,2020
Isaac Vincent-Norgate,Little Boy in Hospice,1 episode,2022
Darcie Smith,Milly,1 episode,2022
Cole Anderson-James,Yoga Instructor,1 episode,2022
Jonathan Addis,Comedy Club Guest,1 episode,2019
Andy Figueira,Drug Dealer,1 episode,2019
Richie Lawrie,Child Guardian,1 episode,2022
Ty Hurley,Office Passerby,(uncredited),1 episode,2019
Myra Ford,Checkout Assistant,(uncredited),1 episode,2019
Karen-J Sear,Passer by,(uncredited),1 episode,2019
Ken Byrd,Passerby,(uncredited),1 episode,2019
Ruth Clarson-Horrocks,Pub Patron,(uncredited),1 episode,2020
Marc Hockley,Wedding Guest,(uncredited),1 episode,2020
A.k. Steppa,Wedding DJ,(uncredited),1 episode,2020
Ross Owen,Man in Cafe,(uncredited),1 episode,2020
Gleb Smatko,Cafe Patron,(uncredited),1 episode,2020
